countryorigin_iso3,tq,row_count,measure_sum
LIE,2015q3,174,47212563
MAR,2015q2,18,46486611
MWI,2015q4,9,46046939
MAR,2015q3,97,45116201
VGB,2015q4,1,44470494
SVK,2015q2,36,44442742
ZWE,2015q3,6,43934402
ISL,2015q1,7,43502406
VGB,2015q2,19,42392318
PRY,2015q2,4,41841128
CUB,2015q3,8,41426937
ANT,2015q1,19,40935635
MWI,2015q1,2,40566460
KEN,2015q4,32,40074338
HND,2015q3,26,38806070
TUN,2015q4,11,38678418
CUB,2015q4,12,38305184
CRI,2015q1,10,37746448
TUN,2015q3,10,37124488
SVK,2015q3,37,35847827
MDA,2015q1,10,35809962
BHR,2015q3,21,35636458
ROU,2015q2,40,35369095
JOR,2015q4,8,35133984
CYP,2015q4,45,34947300
BRN,2015q1,8,34677023
LTU,2015q1,11,34612744
LUX,2015q1,17,34344944
MLT,2015q2,30,33358472
PRT,2015q1,85,32482413
ANT,2015q2,15,32456819
LTU,2015q3,22,32439634
ZMB,2015q3,6,32348410
ROU,2015q4,61,32106543
EST,2015q4,14,31993307
SVK,2015q4,70,31851600
CYP,2015q2,34,31234896
CYM,2015q4,7,30504538
LIE,2015q4,130,30485141
HRV,2015q3,55,30012042
MUS,2015q4,12,29420528
SYC,2015q4,7,28251825
MOZ,2015q3,7,27855411
MUS,2015q3,11,27703971
TZA,2015q2,5,27677277
PRT,2015q2,98,27541819
ZMB,2015q2,4,26435395
SVN,2015q1,31,26214285
ZWE,2015q1,4,25992484
GUM,2015q3,118,25851070
BHR,2015q4,22,25480357
LUX,2015q4,58,25148551
MHL,2015q4,9,24856891
MAC,2015q4,100,24773805
CYM,2015q3,6,24391113
NFK,2015q1,5,23513392
IRN,2015q3,13,23502745
LUX,2015q3,40,23383041
GTM,2015q3,13,23253026
KIR,2015q3,3,23251743
LIE,2015q2,43,22768474
BIH,2015q4,6,22461876
MOZ,2015q2,8,21969059
MOZ,2015q1,5,21779176
NTZ,2015q3,40,21773338
SLB,2015q2,14,21628540
GUM,2015q4,107,19794221
ETH,2015q1,8,19385379
GEO,2015q1,8,19303378
BIH,2015q3,6,18134163
GHA,2015q4,4,17963031
TZA,2015q4,5,17862816
MWI,2015q2,9,17579524
GEO,2015q2,19,17572626
MOZ,2015q4,6,17533356
LVA,2015q4,11,17072987
GUM,2015q2,59,16918190
EGY,2015q4,35,16881782
BHR,2015q1,6,16699764
GTM,2015q4,9,15890501
BHR,2015q2,11,15861757
CYP,2015q3,35,15858668
MAR,2015q1,10,15385069
TZA,2015q1,4,15381360
GUY,2015q1,1,14647583
NTZ,2015q4,26,14575100
NAM,2015q3,12,14308086
KGZ,2015q1,3,12627560
LAO,2015q3,3,12530746
LVA,2015q2,10,12431222
